"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"GHA","Ghana","Central","admin1","Access","in 100 people",2019,73.3925929841
"GHA","Ghana","Central","admin1","Access","in 100 people",2020,61.4846265217
"GHA","Ghana","Central","admin1","Access","in 100 people",2021,74.1344788935
"GHA","Ghana","Central","admin1","Access","in 100 people",2022,73.9281713426
"GHA","Ghana","Western","admin1","Use","in 100 people",2010,12.885449397600002
"GHA","Ghana","Western","admin1","Use","in 100 people",2011,23.815379098
"GHA","Ghana","Western","admin1","Use","in 100 people",2012,40.8224123874
"GHA","Ghana","Western","admin1","Use","in 100 people",2013,38.1767056936
"GHA","Ghana","Western","admin1","Use","in 100 people",2014,32.169719912400005
"GHA","Ghana","Western","admin1","Use","in 100 people",2015,33.3006829577
"GHA","Ghana","Western","admin1","Use","in 100 people",2016,29.1449758153
"GHA","Ghana","Western","admin1","Use","in 100 people",2017,24.0790167354
"GHA","Ghana","Western","admin1","Use","in 100 people",2018,43.8405152486
"GHA","Ghana","Western","admin1","Use","in 100 people",2019,43.359063438199996
"GHA","Ghana","Western","admin1","Use","in 100 people",2020,35.429943037
"GHA","Ghana","Western","admin1","Use","in 100 people",2021,52.0853734655
"GHA","Ghana","Western","admin1","Use","in 100 people",2022,51.71769298619999
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2010,54.1748695555
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2011,60.754288061000004
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2012,69.8931938364
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2013,66.82815764349999
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2014,58.8555800096
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2015,53.900311156
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2016,47.507760705799996
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2017,41.6533845361
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2018,55.1402632707
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2019,58.260228299299996
